response_row_id,test_id,total_questions,answers_json,is_complete,time_per_question_s,total_time_s,shuffled_question_order
14,folio_actual_q14_r14_31q_attention3_seed42,31.0,"{""10"":[""D""],""12"":[""C""],""21"":[""C""]}",No,"{""10"":595.338,""12"":89.495,""21"":90.217}",775.05,"[10,12,21,16,2,28,24,9,6,17,31,1,18,13,25,8,23,19,29,27,4,22,11,3,26,5,14,30,15,20,7]"
15,folio_actual_q14_r14_31q_attention3_seed42,31.0,"{""10"":[""D""],""12"":[""C""],""16"":[""B""],""21"":[""C""]}",No,"{""10"":595.338,""12"":89.495,""16"":57.697,""21"":90.217}",832.747,"[10,12,21,16,2,28,24,9,6,17,31,1,18,13,25,8,23,19,29,27,4,22,11,3,26,5,14,30,15,20,7]"
16,folio_actual_q14_r14_31q_attention3_seed42,31.0,"{""5"":[""C""],""14"":[""D""],""16"":[""B""],""19"":[""D""],""24"":[""D""],""29"":[""C""],""30"":[""C""]}",No,"{""5"":28.981,""14"":109.826,""16"":114.308,""19"":63.679,""24"":88.72,""29"":87.898,""30"":138.312}",704.99,"[5,29,30,14,16,19,24,12,22,21,1,13,25,23,2,4,17,20,26,11,3,27,28,9,15,31,7,10,6,18,8]"
17,folio_actual_q14_r14_31q_attention3_seed42,31.0,"{""11"":[""B""]}",No,"{""11"":240.386}",240.386,"[11,20,7,31,12,22,15,21,5,1,9,4,18,6,8,2,17,25,30,26,28,13,24,27,16,29,14,19,10,23,3]"
18,folio_actual_q14_r14_31q_attention3_seed42,31.0,"{""2"":[""D""],""10"":[""D""],""12"":[""C""],""16"":[""B""],""21"":[""C""]}",No,"{""2"":137.735,""10"":595.338,""12"":89.495,""16"":57.697,""21"":90.217}",970.482,"[10,12,21,16,2,28,24,9,6,17,31,1,18,13,25,8,23,19,29,27,4,22,11,3,26,5,14,30,15,20,7]"
19,folio_actual_q14_r14_31q_attention3_seed42,31.0,"{""13"":[""B""]}",No,"{""13"":445.283}",445.283,"[13,6,26,14,3,16,19,2,30,29,22,10,11,27,8,28,15,25,20,9,7,12,31,17,5,21,1,4,18,23,24]"
20,folio_actual_q14_r14_31q_attention3_seed42,31.0,"{""5"":[""C""],""12"":[""B""],""14"":[""D""],""16"":[""B""],""19"":[""D""],""24"":[""D""],""29"":[""C""],""30"":[""C""]}",No,"{""5"":28.981,""12"":133.048,""14"":109.826,""16"":114.308,""19"":63.679,""24"":88.72,""29"":87.898,""30"":138.312}",838.038,"[5,29,30,14,16,19,24,12,22,21,1,13,25,23,2,4,17,20,26,11,3,27,28,9,15,31,7,10,6,18,8]"
21,folio_actual_q14_r14_31q_attention3_seed42,31.0,"{""2"":[""D""],""10"":[""D""],""12"":[""C""],""16"":[""B""],""21"":[""C""],""28"":[""B""]}",No,"{""2"":137.735,""10"":595.338,""12"":89.495,""16"":57.697,""21"":90.217,""28"":27.319}",997.801,"[10,12,21,16,2,28,24,9,6,17,31,1,18,13,25,8,23,19,29,27,4,22,11,3,26,5,14,30,15,20,7]"
22,folio_actual_q14_r14_31q_attention3_seed42,31.0,"{""15"":[""C""]}",No,"{""15"":190.86}",190.86,"[15,3,28,20,5,27,24,23,29,18,6,13,14,9,8,31,16,7,19,2,11,26,12,10,1,17,22,4,21,25,30]"
23,folio_actual_q14_r14_31q_attention3_seed42,31.0,"{""5"":[""C""],""12"":[""B""],""14"":[""D""],""16"":[""B""],""19"":[""D""],""22"":[""D""],""24"":[""D""],""29"":[""C""],""30"":[""C""]}",No,"{""5"":28.981,""12"":133.048,""14"":109.826,""16"":114.308,""19"":63.679,""22"":71.888,""24"":88.72,""29"":87.898,""30"":138.312}",909.926,"[5,29,30,14,16,19,24,12,22,21,1,13,25,23,2,4,17,20,26,11,3,27,28,9,15,31,7,10,6,18,8]"
24,folio_actual_q14_r14_31q_attention3_seed42,31.0,"{""2"":[""D""],""10"":[""D""],""12"":[""C""],""16"":[""B""],""21"":[""C""],""24"":[""C""],""28"":[""B""]}",No,"{""2"":137.735,""10"":595.338,""12"":89.495,""16"":57.697,""21"":90.217,""24"":69.185,""28"":27.319}",1066.986,"[10,12,21,16,2,28,24,9,6,17,31,1,18,13,25,8,23,19,29,27,4,22,11,3,26,5,14,30,15,20,7]"
25,folio_actual_q14_r14_31q_attention3_seed42,31.0,"{""3"":[""A""],""15"":[""C""]}",No,"{""3"":90.17,""15"":190.86}",281.03,"[15,3,28,20,5,27,24,23,29,18,6,13,14,9,8,31,16,7,19,2,11,26,12,10,1,17,22,4,21,25,30]"
26,folio_actual_q14_r14_31q_attention3_seed42,31.0,"{""6"":[""D""],""13"":[""B""]}",No,"{""6"":127.04,""13"":445.283}",572.323,"[13,6,26,14,3,16,19,2,30,29,22,10,11,27,8,28,15,25,20,9,7,12,31,17,5,21,1,4,18,23,24]"
27,folio_actual_q14_r14_31q_attention3_seed42,31.0,"{""2"":[""D""],""9"":[""C""],""10"":[""D""],""12"":[""C""],""16"":[""B""],""21"":[""C""],""24"":[""C""],""28"":[""B""]}",No,"{""2"":137.735,""9"":49.264,""10"":595.338,""12"":89.495,""16"":57.697,""21"":90.217,""24"":69.185,""28"":27.319}",1116.25,"[10,12,21,16,2,28,24,9,6,17,31,1,18,13,25,8,23,19,29,27,4,22,11,3,26,5,14,30,15,20,7]"
28,folio_actual_q14_r14_31q_attention3_seed42,31.0,"{""6"":[""D""],""13"":[""B""],""26"":[""C""]}",No,"{""6"":127.04,""13"":445.283,""26"":32.4}",604.723,"[13,6,26,14,3,16,19,2,30,29,22,10,11,27,8,28,15,25,20,9,7,12,31,17,5,21,1,4,18,23,24]"
29,folio_actual_q14_r14_31q_attention3_seed42,31.0,"{""5"":[""C""],""12"":[""B""],""14"":[""D""],""16"":[""B""],""19"":[""D""],""21"":[""A""],""22"":[""D""],""24"":[""D""],""29"":[""C""],""30"":[""C""]}",No,"{""5"":28.981,""12"":133.048,""14"":109.826,""16"":114.308,""19"":63.679,""21"":87.988,""22"":71.888,""24"":88.72,""29"":87.898,""30"":138.312}",997.914,"[5,29,30,14,16,19,24,12,22,21,1,13,25,23,2,4,17,20,26,11,3,27,28,9,15,31,7,10,6,18,8]"
30,folio_actual_q14_r14_31q_attention3_seed42,31.0,"{""2"":[""D""],""6"":[""D""],""9"":[""C""],""10"":[""D""],""12"":[""C""],""16"":[""B""],""21"":[""C""],""24"":[""C""],""28"":[""B""]}",No,"{""2"":137.735,""6"":48.985,""9"":49.264,""10"":595.338,""12"":89.495,""16"":57.697,""21"":90.217,""24"":69.185,""28"":27.319}",1165.235,"[10,12,21,16,2,28,24,9,6,17,31,1,18,13,25,8,23,19,29,27,4,22,11,3,26,5,14,30,15,20,7]"
31,folio_actual_q14_r14_31q_attention3_seed42,31.0,"{""1"":[""C""],""5"":[""C""],""12"":[""B""],""14"":[""D""],""16"":[""B""],""19"":[""D""],""21"":[""A""],""22"":[""D""],""24"":[""D""],""29"":[""C""],""30"":[""C""]}",No,"{""1"":33.666,""5"":28.981,""12"":133.048,""14"":109.826,""16"":114.308,""19"":63.679,""21"":87.988,""22"":71.888,""24"":88.72,""29"":87.898,""30"":138.312}",1031.58,"[5,29,30,14,16,19,24,12,22,21,1,13,25,23,2,4,17,20,26,11,3,27,28,9,15,31,7,10,6,18,8]"
32,folio_actual_q14_r14_31q_attention3_seed42,31.0,"{""1"":[""C""],""5"":[""C""],""12"":[""B""],""13"":[""D""],""14"":[""D""],""16"":[""B""],""19"":[""D""],""21"":[""A""],""22"":[""D""],""24"":[""D""],""29"":[""C""],""30"":[""C""]}",No,"{""1"":33.666,""5"":28.981,""12"":133.048,""13"":38.153,""14"":109.826,""16"":114.308,""19"":63.679,""21"":87.988,""22"":71.888,""24"":88.72,""29"":87.898,""30"":138.312}",1069.733,"[5,29,30,14,16,19,24,12,22,21,1,13,25,23,2,4,17,20,26,11,3,27,28,9,15,31,7,10,6,18,8]"
33,folio_actual_q14_r14_31q_attention3_seed42,31.0,"{""2"":[""D""],""6"":[""D""],""9"":[""C""],""10"":[""D""],""12"":[""C""],""16"":[""B""],""17"":[""D""],""21"":[""C""],""24"":[""C""],""28"":[""B""]}",No,"{""2"":137.735,""6"":48.985,""9"":49.264,""10"":595.338,""12"":89.495,""16"":57.697,""17"":105.968,""21"":90.217,""24"":69.185,""28"":27.319}",1271.203,"[10,12,21,16,2,28,24,9,6,17,31,1,18,13,25,8,23,19,29,27,4,22,11,3,26,5,14,30,15,20,7]"
34,folio_actual_q14_r14_31q_attention3_seed42,31.0,"{""3"":[""A""],""15"":[""C""],""28"":[""C""]}",No,"{""3"":90.17,""15"":190.86,""28"":172.86}",453.89,"[15,3,28,20,5,27,24,23,29,18,6,13,14,9,8,31,16,7,19,2,11,26,12,10,1,17,22,4,21,25,30]"
35,folio_actual_q14_r14_31q_attention3_seed42,31.0,"{""1"":[""C""],""5"":[""C""],""12"":[""B""],""13"":[""D""],""14"":[""D""],""16"":[""B""],""19"":[""D""],""21"":[""A""],""22"":[""D""],""24"":[""D""],""25"":[""C""],""29"":[""C""],""30"":[""C""]}",No,"{""1"":33.666,""5"":28.981,""12"":133.048,""13"":38.153,""14"":109.826,""16"":114.308,""19"":63.679,""21"":87.988,""22"":71.888,""24"":88.72,""25"":86.995,""29"":87.898,""30"":138.312}",1156.728,"[5,29,30,14,16,19,24,12,22,21,1,13,25,23,2,4,17,20,26,11,3,27,28,9,15,31,7,10,6,18,8]"
36,folio_actual_q14_r14_31q_attention3_seed42,31.0,"{""1"":[""C""],""5"":[""C""],""12"":[""B""],""13"":[""D""],""14"":[""D""],""16"":[""B""],""19"":[""D""],""21"":[""A""],""22"":[""D""],""23"":[""C""],""24"":[""D""],""25"":[""C""],""29"":[""C""],""30"":[""C""]}",No,"{""1"":33.666,""5"":28.981,""12"":133.048,""13"":38.153,""14"":109.826,""16"":114.308,""19"":63.679,""21"":87.988,""22"":71.888,""23"":25.319,""24"":88.72,""25"":86.995,""29"":87.898,""30"":138.312}",1182.047,"[5,29,30,14,16,19,24,12,22,21,1,13,25,23,2,4,17,20,26,11,3,27,28,9,15,31,7,10,6,18,8]"
37,folio_actual_q14_r14_31q_attention3_seed42,31.0,"{""2"":[""D""],""6"":[""D""],""9"":[""C""],""10"":[""D""],""12"":[""C""],""16"":[""B""],""17"":[""D""],""21"":[""C""],""24"":[""C""],""28"":[""B""],""31"":[""A""]}",No,"{""2"":137.735,""6"":48.985,""9"":49.264,""10"":595.338,""12"":89.495,""16"":57.697,""17"":105.968,""21"":90.217,""24"":69.185,""28"":27.319,""31"":70.424}",1341.627,"[10,12,21,16,2,28,24,9,6,17,31,1,18,13,25,8,23,19,29,27,4,22,11,3,26,5,14,30,15,20,7]"
38,folio_actual_q14_r14_31q_attention3_seed42,31.0,"{""6"":[""D""],""13"":[""B""],""14"":[""D""],""26"":[""C""]}",No,"{""6"":127.04,""13"":445.283,""14"":200.223,""26"":32.4}",804.946,"[13,6,26,14,3,16,19,2,30,29,22,10,11,27,8,28,15,25,20,9,7,12,31,17,5,21,1,4,18,23,24]"
39,folio_actual_q14_r14_31q_attention3_seed42,31.0,"{""1"":[""C""],""2"":[""C""],""5"":[""C""],""12"":[""B""],""13"":[""D""],""14"":[""D""],""16"":[""B""],""19"":[""D""],""21"":[""A""],""22"":[""D""],""23"":[""C""],""24"":[""D""],""25"":[""C""],""29"":[""C""],""30"":[""C""]}",No,"{""1"":33.666,""2"":61.562,""5"":28.981,""12"":133.048,""13"":38.153,""14"":109.826,""16"":114.308,""19"":63.679,""21"":87.988,""22"":71.888,""23"":25.319,""24"":88.72,""25"":86.995,""29"":87.898,""30"":138.312}",1243.609,"[5,29,30,14,16,19,24,12,22,21,1,13,25,23,2,4,17,20,26,11,3,27,28,9,15,31,7,10,6,18,8]"
40,folio_actual_q14_r14_31q_attention3_seed42,31.0,"{""3"":[""A""],""6"":[""D""],""13"":[""B""],""14"":[""D""],""26"":[""C""]}",No,"{""3"":53.175,""6"":127.04,""13"":445.283,""14"":200.223,""26"":32.4}",858.121,"[13,6,26,14,3,16,19,2,30,29,22,10,11,27,8,28,15,25,20,9,7,12,31,17,5,21,1,4,18,23,24]"
41,folio_actual_q14_r14_31q_attention3_seed42,31.0,"{""3"":[""A""],""15"":[""C""],""20"":[""D""],""28"":[""C""]}",No,"{""3"":90.17,""15"":190.86,""20"":129.321,""28"":172.86}",583.211,"[15,3,28,20,5,27,24,23,29,18,6,13,14,9,8,31,16,7,19,2,11,26,12,10,1,17,22,4,21,25,30]"
42,folio_actual_q14_r14_31q_attention3_seed42,31.0,"{""11"":[""A""]}",No,"{""11"":870.337}",870.337,"[11,8,13,5,10,4,12,26,27,17,9,6,23,30,7,18,2,15,19,16,31,1,20,21,28,3,24,29,22,25,14]"
43,folio_actual_q14_r14_31q_attention3_seed42,31.0,"{""1"":[""C""],""2"":[""C""],""4"":[""D""],""5"":[""C""],""12"":[""B""],""13"":[""D""],""14"":[""D""],""16"":[""B""],""19"":[""D""],""21"":[""A""],""22"":[""D""],""23"":[""C""],""24"":[""D""],""25"":[""C""],""29"":[""C""],""30"":[""C""]}",No,"{""1"":33.666,""2"":61.562,""4"":58.454,""5"":28.981,""12"":133.048,""13"":38.153,""14"":109.826,""16"":114.308,""19"":63.679,""21"":87.988,""22"":71.888,""23"":25.319,""24"":88.72,""25"":86.995,""29"":87.898,""30"":138.312}",1302.063,"[5,29,30,14,16,19,24,12,22,21,1,13,25,23,2,4,17,20,26,11,3,27,28,9,15,31,7,10,6,18,8]"
44,folio_actual_q14_r14_31q_attention3_seed42,31.0,"{""1"":[""D""],""2"":[""D""],""6"":[""D""],""9"":[""C""],""10"":[""D""],""12"":[""C""],""16"":[""B""],""17"":[""D""],""21"":[""C""],""24"":[""C""],""28"":[""B""],""31"":[""A""]}",No,"{""1"":120.696,""2"":137.735,""6"":48.985,""9"":49.264,""10"":595.338,""12"":89.495,""16"":57.697,""17"":105.968,""21"":90.217,""24"":69.185,""28"":27.319,""31"":70.424}",1462.323,"[10,12,21,16,2,28,24,9,6,17,31,1,18,13,25,8,23,19,29,27,4,22,11,3,26,5,14,30,15,20,7]"
45,folio_actual_q14_r14_31q_attention3_seed42,31.0,"{""1"":[""C""],""2"":[""C""],""4"":[""D""],""5"":[""C""],""12"":[""B""],""13"":[""D""],""14"":[""D""],""16"":[""B""],""17"":[""D""],""19"":[""D""],""21"":[""A""],""22"":[""D""],""23"":[""C""],""24"":[""D""],""25"":[""C""],""29"":[""C""],""30"":[""C""]}",No,"{""1"":33.666,""2"":61.562,""4"":58.454,""5"":28.981,""12"":133.048,""13"":38.153,""14"":109.826,""16"":114.308,""17"":31.3,""19"":63.679,""21"":87.988,""22"":71.888,""23"":25.319,""24"":88.72,""25"":86.995,""29"":87.898,""30"":138.312}",1333.363,"[5,29,30,14,16,19,24,12,22,21,1,13,25,23,2,4,17,20,26,11,3,27,28,9,15,31,7,10,6,18,8]"
46,folio_actual_q14_r14_31q_attention3_seed42,31.0,"{""8"":[""A""],""11"":[""A""]}",No,"{""8"":76.86,""11"":870.337}",947.197,"[11,8,13,5,10,4,12,26,27,17,9,6,23,30,7,18,2,15,19,16,31,1,20,21,28,3,24,29,22,25,14]"
47,folio_actual_q14_r14_31q_attention3_seed42,31.0,"{""3"":[""A""],""6"":[""D""],""13"":[""B""],""14"":[""D""],""16"":[""B""],""26"":[""C""]}",No,"{""3"":53.175,""6"":127.04,""13"":445.283,""14"":200.223,""16"":92.869,""26"":32.4}",950.99,"[13,6,26,14,3,16,19,2,30,29,22,10,11,27,8,28,15,25,20,9,7,12,31,17,5,21,1,4,18,23,24]"
48,folio_actual_q14_r14_31q_attention3_seed42,31.0,"{""1"":[""D""],""2"":[""D""],""6"":[""D""],""9"":[""C""],""10"":[""D""],""12"":[""C""],""16"":[""B""],""17"":[""D""],""18"":[""C""],""21"":[""C""],""24"":[""C""],""28"":[""B""],""31"":[""A""]}",No,"{""1"":120.696,""2"":137.735,""6"":48.985,""9"":49.264,""10"":595.338,""12"":89.495,""16"":57.697,""17"":105.968,""18"":40.544,""21"":90.217,""24"":69.185,""28"":27.319,""31"":70.424}",1502.867,"[10,12,21,16,2,28,24,9,6,17,31,1,18,13,25,8,23,19,29,27,4,22,11,3,26,5,14,30,15,20,7]"
49,folio_actual_q14_r14_31q_attention3_seed42,31.0,"{""1"":[""C""],""2"":[""C""],""4"":[""D""],""5"":[""C""],""12"":[""B""],""13"":[""D""],""14"":[""D""],""16"":[""B""],""17"":[""D""],""19"":[""D""],""20"":[""D""],""21"":[""A""],""22"":[""D""],""23"":[""C""],""24"":[""D""],""25"":[""C""],""29"":[""C""],""30"":[""C""]}",No,"{""1"":33.666,""2"":61.562,""4"":58.454,""5"":28.981,""12"":133.048,""13"":38.153,""14"":109.826,""16"":114.308,""17"":31.3,""19"":63.679,""20"":23.452,""21"":87.988,""22"":71.888,""23"":25.319,""24"":88.72,""25"":86.995,""29"":87.898,""30"":138.312}",1356.815,"[5,29,30,14,16,19,24,12,22,21,1,13,25,23,2,4,17,20,26,11,3,27,28,9,15,31,7,10,6,18,8]"
50,folio_actual_q14_r14_31q_attention3_seed42,31.0,"{""2"":[""D""]}",No,"{""2"":329.25}",329.25,"[2,15,25,7,19,24,3,26,27,21,29,9,23,12,14,18,31,8,10,28,16,30,6,5,11,22,20,4,13,1,17]"
51,folio_actual_q14_r14_31q_attention3_seed42,31.0,"{""1"":[""C""],""2"":[""C""],""4"":[""D""],""5"":[""C""],""12"":[""B""],""13"":[""D""],""14"":[""D""],""16"":[""B""],""17"":[""D""],""19"":[""D""],""20"":[""D""],""21"":[""A""],""22"":[""D""],""23"":[""C""],""24"":[""D""],""25"":[""C""],""26"":[""C""],""29"":[""C""],""30"":[""C""]}",No,"{""1"":33.666,""2"":61.562,""4"":58.454,""5"":28.981,""12"":133.048,""13"":38.153,""14"":109.826,""16"":114.308,""17"":31.3,""19"":63.679,""20"":23.452,""21"":87.988,""22"":71.888,""23"":25.319,""24"":88.72,""25"":86.995,""26"":35.614,""29"":87.898,""30"":138.312}",1392.429,"[5,29,30,14,16,19,24,12,22,21,1,13,25,23,2,4,17,20,26,11,3,27,28,9,15,31,7,10,6,18,8]"
52,folio_actual_q14_r14_31q_attention3_seed42,31.0,"{""1"":[""C""],""2"":[""C""],""4"":[""D""],""5"":[""C""],""11"":[""D""],""12"":[""B""],""13"":[""D""],""14"":[""D""],""16"":[""B""],""17"":[""D""],""19"":[""D""],""20"":[""D""],""21"":[""A""],""22"":[""D""],""23"":[""C""],""24"":[""D""],""25"":[""C""],""26"":[""C""],""29"":[""C""],""30"":[""C""]}",No,"{""1"":33.666,""2"":61.562,""4"":58.454,""5"":28.981,""11"":25.84,""12"":133.048,""13"":38.153,""14"":109.826,""16"":114.308,""17"":31.3,""19"":63.679,""20"":23.452,""21"":87.988,""22"":71.888,""23"":25.319,""24"":88.72,""25"":86.995,""26"":35.614,""29"":87.898,""30"":138.312}",1418.269,"[5,29,30,14,16,19,24,12,22,21,1,13,25,23,2,4,17,20,26,11,3,27,28,9,15,31,7,10,6,18,8]"
53,folio_actual_q14_r14_31q_attention3_seed42,31.0,"{""3"":[""A""],""5"":[""C""],""15"":[""C""],""20"":[""D""],""28"":[""C""]}",No,"{""3"":90.17,""5"":172.863,""15"":190.86,""20"":129.321,""28"":172.86}",756.074,"[15,3,28,20,5,27,24,23,29,18,6,13,14,9,8,31,16,7,19,2,11,26,12,10,1,17,22,4,21,25,30]"
54,folio_actual_q14_r14_31q_attention3_seed42,31.0,"{""1"":[""C""],""2"":[""C""],""3"":[""A""],""4"":[""D""],""5"":[""C""],""11"":[""D""],""12"":[""B""],""13"":[""D""],""14"":[""D""],""16"":[""B""],""17"":[""D""],""19"":[""D""],""20"":[""D""],""21"":[""A""],""22"":[""D""],""23"":[""C""],""24"":[""D""],""25"":[""C""],""26"":[""C""],""29"":[""C""],""30"":[""C""]}",No,"{""1"":33.666,""2"":61.562,""3"":30.192,""4"":58.454,""5"":28.981,""11"":25.84,""12"":133.048,""13"":38.153,""14"":109.826,""16"":114.308,""17"":31.3,""19"":63.679,""20"":23.452,""21"":87.988,""22"":71.888,""23"":25.319,""24"":88.72,""25"":86.995,""26"":35.614,""29"":87.898,""30"":138.312}",1448.461,"[5,29,30,14,16,19,24,12,22,21,1,13,25,23,2,4,17,20,26,11,3,27,28,9,15,31,7,10,6,18,8]"
55,folio_actual_q14_r14_31q_attention3_seed42,31.0,"{""1"":[""C""],""2"":[""C""],""3"":[""A""],""4"":[""D""],""5"":[""C""],""11"":[""D""],""12"":[""B""],""13"":[""D""],""14"":[""D""],""16"":[""B""],""17"":[""D""],""19"":[""D""],""20"":[""D""],""21"":[""A""],""22"":[""D""],""23"":[""C""],""24"":[""D""],""25"":[""C""],""26"":[""C""],""27"":[""D""],""29"":[""C""],""30"":[""C""]}",No,"{""1"":33.666,""2"":61.562,""3"":30.192,""4"":58.454,""5"":28.981,""11"":25.84,""12"":133.048,""13"":38.153,""14"":109.826,""16"":114.308,""17"":31.3,""19"":63.679,""20"":23.452,""21"":87.988,""22"":71.888,""23"":25.319,""24"":88.72,""25"":86.995,""26"":35.614,""27"":25.159,""29"":87.898,""30"":138.312}",1473.62,"[5,29,30,14,16,19,24,12,22,21,1,13,25,23,2,4,17,20,26,11,3,27,28,9,15,31,7,10,6,18,8]"
56,folio_actual_q14_r14_31q_attention3_seed42,31.0,"{""1"":[""C""],""2"":[""C""],""3"":[""A""],""4"":[""D""],""5"":[""C""],""11"":[""D""],""12"":[""B""],""13"":[""D""],""14"":[""D""],""16"":[""B""],""17"":[""D""],""19"":[""D""],""20"":[""D""],""21"":[""A""],""22"":[""D""],""23"":[""C""],""24"":[""D""],""25"":[""C""],""26"":[""C""],""27"":[""D""],""28"":[""D""],""29"":[""C""],""30"":[""C""]}",No,"{""1"":33.666,""2"":61.562,""3"":30.192,""4"":58.454,""5"":28.981,""11"":25.84,""12"":133.048,""13"":38.153,""14"":109.826,""16"":114.308,""17"":31.3,""19"":63.679,""20"":23.452,""21"":87.988,""22"":71.888,""23"":25.319,""24"":88.72,""25"":86.995,""26"":35.614,""27"":25.159,""28"":21.238,""29"":87.898,""30"":138.312}",1494.858,"[5,29,30,14,16,19,24,12,22,21,1,13,25,23,2,4,17,20,26,11,3,27,28,9,15,31,7,10,6,18,8]"
57,folio_actual_q14_r14_31q_attention3_seed42,31.0,"{""2"":[""D""],""15"":[""C""]}",No,"{""2"":329.25,""15"":126.415}",455.665,"[2,15,25,7,19,24,3,26,27,21,29,9,23,12,14,18,31,8,10,28,16,30,6,5,11,22,20,4,13,1,17]"
58,folio_actual_q14_r14_31q_attention3_seed42,31.0,"{""1"":[""D""],""2"":[""D""],""6"":[""D""],""9"":[""C""],""10"":[""D""],""12"":[""C""],""13"":[""C""],""16"":[""B""],""17"":[""D""],""18"":[""C""],""21"":[""C""],""24"":[""C""],""28"":[""B""],""31"":[""A""]}",No,"{""1"":120.696,""2"":137.735,""6"":48.985,""9"":49.264,""10"":595.338,""12"":89.495,""13"":140.985,""16"":57.697,""17"":105.968,""18"":40.544,""21"":90.217,""24"":69.185,""28"":27.319,""31"":70.424}",1643.852,"[10,12,21,16,2,28,24,9,6,17,31,1,18,13,25,8,23,19,29,27,4,22,11,3,26,5,14,30,15,20,7]"
59,folio_actual_q14_r14_31q_attention3_seed42,31.0,"{""4"":[""C""]}",No,"{""4"":109.94}",109.94,"[4,18,25,27,10,20,12,2,29,24,8,11,22,15,23,17,28,31,1,19,6,26,13,3,30,14,7,21,16,5,9]"
